state,taskForce,introduced,inCmte,crossChamber,crossCmte,passed,signed,died
Alabama,,,x,,,,,
Alaska,,,,,,,,
Arizona,,,x,,,,,
Arkansas,,,,,,,,
California,,,,,,,x,
Colorado,,,,,,,,
Connecticut,,,x,,,,,
Delaware,,,,,,,,
Washington D.C.,,,,,,,,
Florida,,,x,,,,,
Georgia,,,,,,,,
Hawaii,x,,,,,,,
Idaho,,,,,,,,
Illinois,,,x,,,,,
Indiana,,,,,,,,
Iowa,,,x,,,,,x
Kansas,,,,,,,,
Kentucky,,,x,,,,,
Louisiana,x,,,,,,,
Maine,,,,,,,,
Maryland,,x,,,,,,
Massachusetts,,x,,,,,,
Michigan,,,,,,,,
Minnesota,,,x,,,,,
Mississippi,,,x,,,,,x
Missouri,,,,,,,,
Montana,,,,,,,,
Nebraska,,x,,,,,,x
Nevada,,,,,,,x,
New Hampshire,,,,x,,,,x
New Jersey,,,x,,,,,x
New Mexico,,x,,,,,,x
New York,,,x,,,,,
North Carolina,,,,,,,,
North Dakota,,x,,,,,,x
Ohio,,,,,,,,
Oklahoma,,,,x,,,,
Oregon,,,,,,,,
Pennsylvania,,,x,,,,,x
Rhode Island,,,x,,,,,x
South Carolina,,,x,,,,,x
South Dakota,,,,,,,,
Tennessee,,,,,,,,
Texas,x,,,,,,,
Utah,,,x,,,,,x
Vermont,,,,,,,,
Virginia,,,,,,,x,
Washington,,,,,x,,,x
West Virginia,,,,,,,,
Wisconsin,,,x,,,,,x
Wyoming,,,,,,,,